company,region,prefecture_eng,prefecture,city,address,website,num_sake,abv_avg,abv_count,abv_std,acidity_avg,acidity_count,acidity_std,gravity_avg,gravity_count,gravity_std,lat,lon,eng_address,distance_from_coast_deg,elevation,dist_from_coast_km,abv_med,acidity_med,gravity_med,polish_rate_med,grade_med,company_eng
三光正宗株式会社,Chūgoku,Okayama,岡山県,新見市,〒719-3702岡山県新見市哲西町上神代951番地,http://www.sake-sanko.co.jp/,12,16.6,10,2.0110804171997807,,0,,,0,,34.9650705,133.3426386,"951 Tesseichō Kamikōjiro, Niimi, Okayama 719-3702, Japan",0.4925730010850055,335.0,50.03019255668102,16.0,,,60.0,Daiginjō-shu,"Sanko Masamune Co., Ltd."
三冠酒造有限会社,Chūgoku,Okayama,岡山県,倉敷市,〒711-0906岡山県倉敷市児島下の町2-9-22,http://www.sankan.co.jp/,8,18.666666666666668,6,0.6831300510639731,1.7333333333333334,6,0.1032795558988644,5.166666666666667,6,6.013872850889572,34.4736001,133.8207707,"2-chōme-9-22 Kojimashimonochō, Kurashiki, Okayama 711-0906, Japan",0.0115009036191646,11.0,1.1719204319849386,18.5,1.7,6.5,52.5,Junmai Ginjō-shu,"Sankan Sake Brewery Co., Ltd."
三和酒造株式会社,Chūbu,Shizuoka,静岡県,静岡市,〒424-0038静岡県静岡市清水区西久保501番地-10,http://www.garyubai.com/,46,15.847826086956522,46,0.7591630275609185,1.3317073170731708,41,0.0913483015448122,4.012195121951219,41,1.5308813020530398,35.0360336,138.4829632,"501-10 Nishikubo, Shimizu Ward, Shizuoka, 424-0038, Japan",0.0153166533512733,25.0,1.556449418060034,16.0,1.3,4.0,55.0,Junmai Daiginjō-shu,"Sanwa Sake Brewery Co., Ltd."
三和酒類株式会社,Kyūshū,Ōita,大分県,宇佐市,〒879-0495大分県宇佐市大字山本2231番地の1,https://www.iichiko.co.jp/,4,16.0,4,0.5773502691896263,,0,,,0,,33.509623,131.3170949,"879-0495, Japan",0.0717208901037363,67.0,7.341339321710022,16.0,,,50.0,Daiginjō-shu,"Sanwa Shurui Co., Ltd."
三宅酒造株式会社,Chūgoku,Okayama,岡山県,総社市,〒719-1161岡山県総社市宿355,http://suifu-miyake.jp/,4,,0,,,0,,,0,,34.6628195,133.7831088,"355 Shuku, Soja, Okayama 719-1161, Japan",0.1478397181795637,11.0,15.047204970088458,,,,35.0,Junmai Daiginjō-shu,"Miyake Sake Brewery Co., Ltd."
三浦酒造株式会社,Tōhoku,Aomori,青森県,弘前市,〒036-8316青森県弘前市石渡5-1-1,http://www.aomori-sake.or.jp/kuramoto/houhai.html,3,,0,,,0,,,0,,40.6293798,140.4535107,"Japan, 〒036-8316 Aomori, Hirosaki, Ishiwatari, 5-chōme−１−１",0.2565944596509039,27.0,25.31496997130377,,,,47.5,Daiginjō-shu,"Miura Sake Brewery Co., Ltd."
三芳菊酒造株式会社,Shikoku,Tokushima,徳島県,三好市,〒778-0003徳島県三好市池田町字サラダ1661,http://www.miyoshikiku.co.jp/main.html,14,18.25357142857143,14,5.648841415782473,1.55,11,0.1565247584249852,3.25,12,5.770221360178009,34.0275704,133.810312,"1661 Ikedachō Sarada, Miyoshi, Tokushima 778-0003, Japan",0.1767257310430262,116.0,18.04174343938225,15.9,1.6,3.5,57.5,Junmai Daiginjō-shu,"Miyoshikiku Sake Brewery Co., Ltd."
三輪酒造株式会社,Chūgoku,Hiroshima,広島県,神石郡,〒720-1812広島県神石郡神石高原町油木乙1930,http://shinrai-1716.com/,22,16.26923076923077,13,0.8320502943378454,1.3692307692307693,13,0.2529315302099739,4.115384615384615,13,1.2273590576560132,34.7767534,133.2772271,"乙１９３０ Yuki, Jinsekikogen, Jinseki District, Hiroshima 720-1812, Japan",0.3398674598574785,487.0,34.561149987585765,16.5,1.2,4.0,60.0,Junmai Daiginjō-shu,"Miwa Sake Brewery Co., Ltd."
上原酒造株式会社,Kansai,Shiga,滋賀県,高島市,〒520-1512滋賀県高島市新旭町太田1524,http://furosen.com/,41,16.98780487804878,41,0.9252554031053314,,0,,12.5,1,,35.3358545,136.0557624,"1524 Shinasahichō Ōta, Takashima, Shiga 520-1512, Japan",0.2973963691472877,88.0,30.16132078974564,17.5,,12.5,60.0,Junmai Daiginjō-shu,"Uehara Sake Brewery Co., Ltd."
上田酒造株式会社,Kansai,Nara,奈良県,生駒市,〒630-0222奈良県生駒市壱分町866-1,https://ueda-syuzou.com/,26,15.208333333333334,24,1.5030162910010303,,0,,,0,,34.6753712,135.7092685,"866-1 Ichibuchō, Ikoma, Nara 630-0222, Japan",0.2968056262484881,127.0,30.19940797447851,15.0,,,70.0,Junmai Daiginjō-shu,"Ueda Sake Brewery Co., Ltd."
上閉伊酒造株式会社,Tōhoku,Iwate,岩手県,遠野市,〒028-0501岩手県遠野市青笹町糠前31-19-7,http://www.v-toono.jp/kamihei/,8,,0,,,0,,,0,,39.3305291,141.6462109,"Aozasacho Nukamae, Tōno, Iwate 028-0501, Japan",0.2588672190652313,840.0,25.71957825389165,,,,50.0,Daiginjō-shu,"Kamihei Sake Brewery Co., Ltd."
下関酒造株式会社,Chūgoku,Yamaguchi,山口県,下関市,〒751-0829山口県下関市幡生宮の下8-23,http://www.sekimusume.co.jp/,13,16.318181818181817,11,1.289820283464469,1.275,2,0.3181980515339464,5.5,2,1.4142135623730951,33.981108,130.9330478,"8-23 Hatabumiyanoshitachō, Shimonoseki, Yamaguchi 751-0829, Japan",0.0243183748363024,8.0,2.483833812081422,16.0,1.275,5.5,50.0,Junmai Daiginjō-shu,"Shimonoseki Sake Brewing Co., Ltd."
与謝娘酒造合名会社,Kansai,Kyoto,京都府,与謝郡,〒629-2423京都府与謝郡与謝野町与謝2-2,http://yosamusume.com/,16,14.9875,16,2.29981883344464,2.23,10,0.917787193925331,-6.8,10,13.966626889362608,35.4765825,135.0866274,"2-2 Yoza, Yosano, Yoza District, Kyoto 629-2423, Japan",0.1227131276695808,79.0,12.440442800599133,15.15,1.7999999999999998,0.5,60.0,Daiginjō-shu,Yosa Musume Sake Brewery LLC
世嬉の一酒造株式会社,Tōhoku,Iwate,岩手県,一関市,〒021-0885岩手県一関市田村町5-42,http://www.sekinoichi.co.jp/,15,16.693333333333335,15,1.429018977514027,1.4333333333333331,9,0.3,2.1666666666666665,9,0.7071067811865476,38.9315929,141.1329483,"5-42 Tamurachō, Ichinoseki, Iwate 021-0885, Japan",0.4216798477872357,26.0,41.97220634284224,16.5,1.4,2.0,60.0,Junmai Daiginjō-shu,"Sekiichi Sake Brewery Co., Ltd."
両磐酒造株式会社,Tōhoku,Iwate,岩手県,一関市,〒021-0032岩手県一関市末広1-8-23,http://www.seisyu-kanzan.com/,6,,0,,,0,,,0,,38.9282332,141.1257626,"1-chōme-8-23 Suehiro, Ichinoseki, Iwate 021-0032, Japan",0.4270418810364953,30.0,42.50625024878223,,,,,Daiginjō-shu,"Ryowa Sake Brewery Co., Ltd."
両関酒造株式会社,Tōhoku,Akita,秋田県,湯沢市,〒012-0813秋田県湯沢市前森4-3-18,http://www.ryozeki.co.jp/,15,15.4,15,0.8280786712108252,1.3066666666666669,15,0.1624221425205085,0.8666666666666667,15,3.340587344992466,39.1707317,140.493713,"4-chōme-3-18 Maemori, Yuzawa, Akita 012-0813, Japan",0.5224250545080484,87.0,51.92363543646625,15.0,1.3,1.5,60.0,Junmai Daiginjō-shu,"Ryoseki Sake Brewery Co., Ltd."
中井酒造株式会社,Chūgoku,Tottori,鳥取県,倉吉市,〒682-0856鳥取県倉吉市中河原555,http://www.yasionet.jp/,21,16.5,21,1.3784048752090226,,0,,3.380952380952381,21,3.943046924349119,35.4130804,133.8028401,"555 Nakagawara, Kurayoshi, Tottori 682-0856, Japan",0.0942735949137571,38.0,9.560780876024808,16.5,,5.0,50.0,Junmai Daiginjō-shu,"Nakai Sake Brewery Co., Ltd."
中国醸造株式会社,Chūgoku,Hiroshima,広島県,廿日市市,〒738-8602広島県廿日市市桜尾一丁目12番1号,https://www.chugoku-jozo.co.jp/,14,15.785714285714286,14,1.4898926873369838,1.2,7,0.0999999999999999,3.2857142857142856,7,1.7043362064926937,34.3548868,132.3399484,"1-chōme-12-1 Sakurao, Hatsukaichi, Hiroshima 738-0004, Japan",0.0084023195510277,8.0,0.8566774306705954,16.0,1.2,4.0,57.5,Junmai Daiginjō-shu,"Chugoku Brewery Co., Ltd."
中垣酒造株式会社,Chūbu,Aichi,愛知県,豊田市,〒444-2827愛知県豊田市有間町下平10,https://r.goope.jp/nakagaki-syuzo,7,15.6,7,0.1527525231651939,1.3142857142857145,7,0.0377964473009226,-4.857142857142857,7,3.933978962347216,35.2208678,137.3283267,"Shimodaira-10 Anmachō, Toyota, Aichi 444-2827, Japan",0.4156004349302483,133.0,42.16458544406154,15.6,1.3,-5.0,40.0,Daiginjō-shu,"Nakagaki Sake Brewery Co., Ltd."
中埜酒造株式会社,Chūbu,Aichi,愛知県,半田市,〒475-0878愛知県半田市東本町二丁目24番地,https://www.nakanoshuzou.jp/,22,14.272727272727272,22,2.0043243293728734,1.4636363636363638,22,0.3873542177946305,-1.1363636363636365,22,8.69753908569465,34.8957555,136.934719,"2-chōme-24 Higashihonmachi, Handa, Aichi 475-0878, Japan",0.0241636010794039,7.0,2.457111754524116,15.0,1.4,2.0,55.0,Junmai Daiginjō-shu,"Nakano Sake Brewery Co., Ltd."
中尾醸造株式会社,Chūgoku,Hiroshima,広島県,竹原市,〒725-0026広島県竹原市中央5-9-14,http://www.maboroshi.co.jp/,22,15.636363636363637,22,0.7889386810292947,1.3588235294117648,17,0.117573506419451,3.095238095238096,21,3.4044788427123747,34.3401993,132.904032,"5-chōme-9-14 Chūō, Takehara, Hiroshima 725-0026, Japan",0.0266166113359588,3.0,2.713864826012846,15.75,1.4,3.0,58.0,Junmai Daiginjō-shu,"Nakao Jozo Co., Ltd."
中山酒造株式会社,Kansai,Mie,三重県,松阪市,〒515-2343三重県松阪市小阿坂町2532,https://hakumaijoh.com/,5,15.0,1,,,0,,,0,,34.5914661,136.4768293,"2532 Koazakachō, Matsusaka, Mie 515-2343, Japan",0.0677090889802172,29.0,6.89481437261743,15.0,,,60.0,Junmai Daiginjō-shu,"Nakayama Sake Brewery Co., Ltd."
中川酒造株式会社,Chūgoku,Tottori,鳥取県,鳥取市,〒680-0061鳥取県鳥取市立川町2丁目305,http://tottori-sake.com/,39,16.12777777777778,36,1.0880155227650838,1.4375,32,0.1263635308761348,3.741935483870968,31,1.1752373359023809,35.4926733,134.2424779,"2-chōme-305 Tachikawachō, Tottori, 680-0061, Japan",0.0540371867172708,9.0,5.478418916218587,15.5,1.45,4.0,60.0,Junmai Daiginjō-shu,"Nakagawa Sake Brewery Co., Ltd."
中村酒造株式会社,Chūgoku,Yamaguchi,山口県,萩市,〒758-0011山口県萩市大字椿東3108-4,http://shirouo.jp/,11,16.045454545454547,11,1.2933395813657271,1.4545454545454546,11,0.0934198732993828,2.0,11,3.930648801406709,34.4220553,131.4083173,"3108-4 Chintō, Hagi, Yamaguchi 758-0011, Japan",0.0008949824265759,3.0,0.0912214658854386,15.5,1.5,2.5,60.0,Junmai Daiginjō-shu,"Nakamura Sake Brewery Co., Ltd."
中谷酒造株式会社,Kansai,Nara,奈良県,大和郡山市,〒639-1117奈良県大和郡山市番条町561番地,http://www.sake-asaka.co.jp/,16,15.25,16,0.7302967433402209,1.3,7,0.1154700538379251,3.230769230769231,13,1.549400214806047,34.62871980000001,135.791966,"561 Banjōchō, Yamatokoriyama, Nara 639-1117, Japan",0.3766694675391016,43.0,38.3288331135185,15.0,1.3,3.0,60.0,Junmai Daiginjō-shu,"Nakatani Sake Brewery Co., Ltd."
中野ＢＣ株式会社,Kansai,Wakayama,和歌山県,海南市,〒642-0034和歌山県海南市藤白758-45,http://www.nakano-group.co.jp/,28,16.189285714285713,28,1.4768182229008626,1.5304347826086957,23,0.281932910473228,1.0739130434782609,23,3.035729265582331,34.1472682,135.2060953,"758-45 Fujishiro, Kainan, Wakayama 642-0034, Japan",0.0163113314968024,4.0,1.664702679895878,16.0,1.5,0.5,58.0,Junmai Daiginjō-shu,"Nakano BC Co., Ltd."
丸一酒造株式会社,Chūbu,Aichi,愛知県,知多郡,〒470-2216愛知県知多郡阿久比町大字植大字西廻間11番地,http://sake01.co.jp/,12,15.18,5,0.1643167672515505,,0,,2.5,4,0.5773502691896257,34.9156829,136.9161411,"Nishibasama-11 Uedai, Agui, Chita District, Aichi 470-2216, Japan",0.0499534181760022,18.0,5.078864976035471,15.3,,2.5,60.0,Junmai Daiginjō-shu,"Maruichi Sake Brewery Co., Ltd."
丸彦酒造株式会社,Kansai,Mie,三重県,四日市市,〒512-0934三重県四日市市川島町1863-2,https://www.mienokanbai.jp/,18,16.016666666666666,18,1.5797430915481523,1.5444444444444445,18,0.3838232163873214,2.333333333333333,18,3.235828832817663,34.9705589,136.5699585,"1863-2 Kawashimachō, Yokkaichi, Mie 512-0934, Japan",0.0756277369213933,17.0,7.686813701593481,15.6,1.45,2.0,60.0,Daiginjō-shu,"Maruhiko Sake Brewery Co., Ltd."
丸本酒造株式会社,Chūgoku,Okayama,岡山県,浅口市,〒719-0232岡山県浅口市鴨方町本庄2485,http://kamomidori.co.jp/,17,13.076923076923077,13,4.680839284813827,1.38,10,0.1988857852023506,2.25,10,2.519369409638496,34.56435099999999,133.5892598,"2485 Kamogatachō Honjo, Asakuchi, Okayama 719-0232, Japan",0.0779654784161934,58.0,7.940129091563607,15.0,1.35,2.5,60.0,Junmai Daiginjō-shu,"Marumoto Sake Brewery Co., Ltd."
丸石醸造株式会社,Chūbu,Aichi,愛知県,岡崎市,〒444-0015愛知県岡崎市中町6-2-5,http://www.014.co.jp/,21,15.978571428571428,14,1.0927583809428694,1.5,1,,5.0,1,,34.9554385,137.1782156,"Japan, 〒444-0015 Aichi, Okazaki, Nakamachi, 6-chōme−２−５",0.1461502560417659,27.0,14.854015320134527,16.0,1.5,5.0,55.0,Junmai Daiginjō-shu,"Maruishi Jozo Co., Ltd."
丹山酒造有限会社,Kansai,Kyoto,京都府,亀岡市,〒621-0812京都府亀岡市横町7番地,http://www.tanzan.co.jp/,25,15.35,20,3.3367964466409683,1.761764705882353,17,1.0496322885546492,-5.625,20,23.435732389485484,35.0090012,135.5837026,"7 Yokochō, Kameoka, Kyoto 621-0812, Japan",0.359997868278749,105.0,36.56521577751779,16.25,1.5,4.0,60.0,Junmai Daiginjō-shu,"Tanzan Sake Brewery Co., Ltd."
久保田酒造株式会社,Chūgoku,Hiroshima,広島県,広島市,〒731-0221広島県広島市安佐北区可部2-34-24,http://www.hishimasamune.co.jp/,21,15.91904761904762,21,1.2241809701261692,1.4690476190476192,21,0.1749829923708233,2.761904761904762,21,5.127423933173089,34.5130132,132.5124388,"2-chōme-34-24 Kabe, Asakita Ward, Hiroshima, 731-0221, Japan",0.1513254434149908,22.0,15.413126380077044,15.3,1.5,4.0,58.0,Junmai Daiginjō-shu,"Kubota Sake Brewery Co., Ltd."
久保酒蔵株式会社,Kyūshū,Ōita,大分県,宇佐市,〒872-0001大分県宇佐市長洲3581-1,http://www.kubosyuzou.jp/,2,15.0,2,0.0,,0,,0.25,2,0.3535533905932738,33.5729637,131.3757164,"3581-1 Nagasu, Usa, Oita 872-0001, Japan",0.0029227746412009,7.0,0.2991193989121583,15.0,,0.25,,Junmai-shu,"Kubo Sake Brewery Co., Ltd."
亀の井酒造株式会社,Tōhoku,Yamagata,山形県,鶴岡市,〒997-0103山形県鶴岡市羽黒町戸野福ノ内1,https://www.yamagata-sake.or.jp/publics/index/31/,5,17.0,5,0.4472135954999576,1.2,5,0.0,3.4,5,3.911521443121589,38.7213034,139.9260567,"Fukunouchi-1 Haguromachi Tono, Tsuruoka, Yamagata 997-0103, Japan",0.1798577418545052,51.0,17.930458606801167,16.8,1.2,1.0,40.0,Junmai Daiginjō-shu,"Kamenoi Sake Brewery Co., Ltd."
亀泉酒造株式会社,Shikoku,Kōchi,高知県,土佐市,〒781-1142高知県土佐市出間2123-1,http://www.kameizumi.co.jp/,21,14.0,1,,1.7,1,,-16.0,1,,33.477603,133.3874305,"2123 Izuma, Tosa, Kochi 781-1142, Japan",0.0782867347636379,19.0,8.014546375973948,14.0,1.7,-16.0,50.0,Junmai Daiginjō-shu,"Kameizumi Sake Brewery Co., Ltd."
亀萬酒造合資会社,Kyūshū,Kumamoto,熊本県,葦北郡,〒869-5602熊本県葦北郡津奈木町大字津奈木1192番地,http://www.kameman.co.jp/,19,15.763157894736842,19,1.2733204738948347,1.4,5,0.4898979485566356,-3.4444444444444446,9,15.993054047860207,32.235143,130.4657756,"1192 Tsunagi, Ashikita District, Kumamoto 869-5602, Japan",0.0411524965933828,24.0,4.237709549860828,15.0,1.6,3.0,60.0,Daiginjō-shu,Kameman Sake Brewing Limited Partnership Company
亀齢酒造株式会社,Chūgoku,Hiroshima,広島県,東広島市,〒739-0011広島県東広島市西条本町8番18号,https://kireikireikirei.jimdo.com/,19,,0,,,0,,,0,,34.4302078,132.7462796,"8-18 Saijōhonmachi, Higashihiroshima, Hiroshima 739-0011, Japan",0.145811639024267,218.0,14.857634403442145,,,,,Junmai Daiginjō-shu,"Kamerei Sake Brewery Co., Ltd."
二木酒造株式会社,Chūbu,Gifu,岐阜県,高山市,〒506-0845岐阜県高山市上二之町40,http://niki-sake.com/,17,16.841176470588238,17,1.2923132474024108,,0,,3.0,17,1.118033988749895,36.14264120000001,137.2597594,"40 Kamininomachi, Takayama, Gifu 506-0845, Japan",0.6155987020938142,579.0,62.14597824119939,16.5,,4.0,50.0,Junmai Daiginjō-shu,"Niki Sake Brewery Co., Ltd."
五井酒造店,Tōhoku,Akita,秋田県,仙北市,〒014-0323秋田県仙北市角館町横町49,http://www.mediacontents.co.jp/shiraume/,3,16.900000000000002,3,1.992485884517128,,0,,3.6666666666666665,3,1.4433756729740643,39.5954896,140.5631224,"49 Kakunodatemachi Yokomachi, Semboku, Akita 014-0323, Japan",0.5087075809780334,59.0,50.44626893904257,15.8,,4.5,70.0,Honjōzō-shu,Goi Sake Brewery
五條酒造株式会社,Kansai,Nara,奈良県,五條市,〒637-0004奈良県五條市今井1丁目1-31,http://sake-goshin.com/,37,16.03125,32,1.2285416216510678,,0,,,0,,34.3556444,135.7005222,"1-chōme-1-31 Imai, Gojo, Nara 637-0004, Japan",0.346016403871317,114.0,35.258337091037866,15.5,,,55.0,Junmai Daiginjō-shu,"Gojo Sake Brewery Co., Ltd."
五町田酒造株式会社,Kyūshū,Saga,佐賀県,嬉野市,〒849-1425佐賀県嬉野市五町田甲2081,http://azumaichi.com/,16,16.416666666666668,6,0.8010409893798616,1.5333333333333332,6,0.0816496580927726,1.1428571428571428,7,1.6761634196950517,33.1238705,130.0671149,"Kō-2081 Shiotachō Ōaza Gochōda, Ureshino, Saga 849-1425, Japan",0.060521126614323,3.0,6.206338305194192,16.5,1.55,0.0,49.0,Junmai Daiginjō-shu,"Gomachida Sake Brewery Co., Ltd."
井出酒造有限会社,Kyūshū,Saga,佐賀県,嬉野市,〒843-0301佐賀県嬉野市嬉野町大字下宿乙806番地1,http://toranoko.co.jp/,17,16.0,17,1.6583123951776997,1.38,5,0.1095445115010331,2.6,5,0.8944271909999159,33.0969626,129.9866484,"Otsu-806-1 Ureshinomachi Ōaza Shimojuku, Ureshino, Saga 843-0301, Japan",0.090641989846646,60.0,9.295890915614178,15.0,1.3,3.0,46.5,Junmai Daiginjō-shu,"Ide Sake Brewing Co., Ltd."
井澤本家合名会社,Kansai,Hyōgo,兵庫県,加古郡,〒675-1111兵庫県加古郡稲美町印南818,http://izawa-honke.com/,12,,0,,,0,,,0,,34.7475162,134.945253,"818 Innami, Inami, Kako District, Hyogo 675-1111, Japan",0.0783955300669966,70.0,7.976798366056752,,,,40.0,Junmai Daiginjō-shu,Izawa Honke LLC
人気酒造株式会社,Tōhoku,Fukushima,福島県,二本松市,〒964-0027福島県二本松市山田470,http://www.ninki.co.jp/,24,14.476190476190476,21,2.96005147960382,1.82,5,0.216794833886788,-3.1,5,8.561541917201597,37.574342,140.400427,"470 Yamada, Nihommatsu, Fukushima 964-0027, Japan",0.6163229688364018,237.0,61.76375660158301,15.0,1.7,-0.5,60.0,Junmai Daiginjō-shu,"Niki Sake Brewery Co., Ltd."
今西酒造株式会社,Kansai,Nara,奈良県,桜井市,〒633-0001奈良県桜井市三輪510番地,http://imanishisyuzou.com/,28,15.65625,16,0.4366062299143243,1.8666666666666665,3,0.3214550253664317,-0.6666666666666666,3,4.041451884327381,34.5280692,135.8506147,"510 Miwa, Sakurai, Nara 633-0001, Japan",0.4372697492139151,83.0,44.51252725868795,15.5,2.0,0.0,60.0,Junmai Daiginjō-shu,"Imanishi Sake Brewery Co., Ltd."
